לֶאֱבוֹד,le'ev(o)d
לְתַעְתֵּעַ,leta'at(e)a
לִתְפּוֹחַ,litp(o)aH
לְהַתְפִּיחַ,lehatp(i)aH
לְהַתְפִּיל,lehatp(i)l
לִתְפּוֹשׂ,litp(o)s
לְהִיתָּפֵשׂ,lehitaf(e)s
לְתַפְעֵל,letaf'(e)l
לְתוֹפֵף,letof(e)f
לְתַפְקֵד,letafk(e)d
לִתְפּוֹר,litp(o)R
לְהִיתָּקֵל,lehitak(e)l
לְהַתְקִיל,lehatk(i)l
לְתַקֵּן,letak(e)n
לְהַתְקִין,lehatk(i)n
לְהִיתַּקֵּן,lehitak(e)n
לְתַקְנֵן,letakn(e)n
לִתְקוֹעַ,litk(o)a
לְהִיתָּקֵעַ,lehitak(e)a
לְהַתְקִיף,lehatk(i)f
לִתְקוֹף,litk(o)f
